name,estimated_data_size (eds in bytes),eds/L1_cache,eds/L2_cache,eds/L3_cache,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_TLB_DM,PAPI_BR_TKN,PAPI_BR_MSP,PAPI_L2_DCA,PAPI_L2_TCA,Runtime (secs)
adi_N32_128,393216,12.000000,1.500000,0.015000,769061,90484,158999,90732,69,2097101,16676,171993,163591,0.017565
adi_N32_256,1572864,48.000000,6.000000,0.060000,3369584,410793,541575,410265,179,8388557,32650,601717,321527,0.069818
adi_N32_300,2160000,65.917969,8.239746,0.082397,4532567,383181,739300,380151,263,11519949,38787,856601,820177,0.095948
adi_N32_400,3840000,117.187500,14.648438,0.146484,7834375,382481,1605952,618788,96,20479949,51520,1346433,1507837,0.253706
adi_N32_512,6291456,192.000000,24.000000,0.240000,13298295,791208,3090746,774747,129548,33554381,65606,2444654,3261605,0.282732
adi_N32_600,8640000,263.671875,32.958984,0.329590,18831055,1369719,2728253,1351770,141180,46079949,77160,2736856,2765678,0.390829
adi_N32_700,11760000,358.886719,44.860840,0.448608,25998672,1419886,3558431,1397011,72097,62719949,89979,4063717,3818554,0.532827
adi_N32_800,15360000,468.750000,58.593750,0.585938,32938916,1780232,4707042,1735286,109458,81919949,102697,5350632,5368512,1.037367
adi_N32_900,19440000,593.261719,74.157715,0.741577,44244844,2033696,3699100,1999817,113758,103679949,115557,6048550,3237129,0.878337
adi_N32_1024,25165824,768.000000,96.000000,0.960000,60353398,2512187,15419118,2492283,111302,134217677,131434,16233904,16444459,1.145735
adi_N64_16,6144,0.187500,0.023438,0.000234,232,65,190,138,3,65421,286,107,227,0.000483
adi_N64_32,24576,0.750000,0.093750,0.000937,1287,100,1163,181,4,262029,597,921,904,0.002000
adi_N64_64,98304,3.000000,0.375000,0.003750,345800,395,59175,520,7,1048461,4958,59435,60538,0.008204
adi_N64_128,393216,12.000000,1.500000,0.015000,1630515,184625,235750,183298,53,4194189,33115,230931,347302,0.036224
adi_N64_256,1572864,48.000000,6.000000,0.060000,6743347,826837,1175179,821126,197,16777101,65749,1194688,731148,0.141773
adi_N64_300,2160000,65.917969,8.239746,0.082397,9045241,758958,1656707,756736,257,23039885,77604,1689518,1683185,0.194410
adi_N64_400,3840000,117.187500,14.648438,0.146484,15388732,1230405,2682921,1229291,2635,40959885,103022,3259339,2592465,0.516335
adi_N64_512,6291456,192.000000,24.000000,0.240000,27726172,1565696,6173099,1549517,258363,67108749,131721,5403022,5122946,0.567533
adi_N64_600,8640000,263.671875,32.958984,0.329590,37685757,2765987,5532714,2789893,263708,92159885,154320,5276407,5271003,0.776001
adi_N64_700,11760000,358.886719,44.860840,0.448608,52002560,2836237,7688225,2830725,141804,125439885,179981,8018475,7630677,1.060076
adi_N64_800,15360000,468.750000,58.593750,0.585938,65647764,3079407,7938754,3052101,81856,163839885,205404,8611163,7618171,2.022427
adi_N64_900,19440000,593.261719,74.157715,0.741577,88266687,4042425,8304231,3969143,214983,207359885,231107,6688636,8904634,1.735438
adi_N64_1024,25165824,768.000000,96.000000,0.960000,118655352,4338972,32809636,4877047,16262,268435341,262885,32100139,31168738,2.258223
adi_N128_16,6144,0.187500,0.023438,0.000234,285,65,199,141,3,130829,518,139,236,0.000985
adi_N128_32,24576,0.750000,0.093750,0.000937,2971,99,2284,195,4,524045,1351,2134,2233,0.004018
adi_N128_64,98304,3.000000,0.375000,0.003750,700667,427,82649,627,4,2096909,9966,82082,82481,0.016481
adi_N128_128,393216,12.000000,1.500000,0.015000,3274607,375087,715296,373855,62,8388365,66672,703850,494362,0.071894
adi_N128_256,1572864,48.000000,6.000000,0.060000,13416793,1648120,2593511,1639622,195,33554189,132258,2597092,2546424,0.279232
