name, integer_ops, flops, memory_ops, loads, stores, branch_ops, uncond_branch_ops, cond_branch_ops, comparison, cpu_ops, total_ops,vector_ops,data/L1_cache, data/L2_cache, data/L3_cache,num_loops, num_vec_loops, num_par_loops, num_par_dep_loops, num_vec_dep_loops, raw_dep, war_dep, waw_dep, num_bbs, num_edges,PAPI_L1_DCM, PAPI_L1_ICM, PAPI_L2_DCM, PAPI_L2_ICM, PAPI_L1_TCM, PAPI_L2_TCM, PAPI_FPU_IDL, PAPI_TLB_DM, PAPI_TLB_IM, PAPI_TLB_TL, PAPI_STL_ICY, PAPI_HW_INT, PAPI_BR_TKN, PAPI_BR_MSP, PAPI_TOT_INS, PAPI_FP_INS, PAPI_BR_INS, PAPI_VEC_INS, PAPI_RES_STL, PAPI_TOT_CYC, PAPI_L1_DCH, PAPI_L2_DCH, PAPI_L1_DCA, PAPI_L2_DCA, PAPI_L1_ICH, PAPI_L2_ICH, PAPI_L1_ICA, PAPI_L2_ICA, PAPI_L1_ICR, PAPI_L2_TCH, PAPI_L1_TCA, PAPI_L2_TCA, PAPI_FML_INS, PAPI_FAD_INS, PAPI_FDV_INS, PAPI_FSQ_INS, PAPI_FP_OPS, PAPI_SP_OPS, PAPI_DP_OPS,Runtime
fdtd-2d_N8_800, 557216379, 56217640, 347744250, 317024218, 30720032, 46118435, 30739217, 15379217, 15379217, 143123296, 1007296704,14016040,58.593994, 7.324249, 0.228883,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,150919, 66, 150170, 65, 150668, 150219, 582202, 6160, 0, 5948, 151420, 270, 15379523, 19543, 1170663690, 56217640, 15398755, 158438504, 210857301, 615251232, 347724635, 4332018, 347875373, 4481980, 158755520, 8, 158755372, 73, 158755895, 1516, 506630845, 4580603, 15334408, 40883232, 0, 0, 56217640, 0, 56217640,0.264348
fdtd-2d_N8_900, 705348379, 71164840, 440172250, 401292218, 38880032, 58363235, 38901617, 19461617, 19461617, 181173696, 1275048704,17748040,74.157959, 9.269745, 0.289680,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,198303, 118, 198703, 113, 198600, 198956, 477819, 5901, 0, 6059, 172922, 233, 19461886, 22049, 944892966, 71164840, 19483519, 200563304, 194448905, 531171626, 440266858, 5520013, 440464857, 5717752, 123260203, 1, 123261948, 100, 123261722, 23179, 563726800, 5872392, 19411208, 51753632, 0, 0, 71164840, 0, 71164840,0.235391
fdtd-2d_N8_1024, 913252731, 92143656, 569893114, 519561434, 50331680, 75546659, 50356241, 25190417, 25190417, 234578016, 1650836160,22986792,96.000244, 12.000031, 0.375001,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,270977, 140, 266598, 82, 266091, 265818, 556079, 846, 0, 847, 188962, 313, 25190795, 25024, 1332282410, 92143656, 25215363, 259686504, 194265843, 648626211, 569907302, 7178430, 570173071, 7444120, 167935444, 1, 167933720, 85, 167933747, 48537, 738116665, 7616413, 25133064, 67010592, 0, 0, 92143656, 0, 92143656,0.282156
fdtd-2d_N16_1, 331, 0, 538, 386, 152, 307, 177, 129, 129, 48, 1176,0,0.000580, 0.000072, 0.000002,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,25, 39, 6, 34, 44, 41, 5821, 1, 0, 1, 3994, 0, 165, 33, 965, 0, 262, 0, 768, 5467, 661, 6, 647, 12, 480, 4, 437, 39, 439, 9, 1154, 52, 0, 0, 0, 0, 0, 0, 0,0.000003
fdtd-2d_N16_2, 3403, 272, 2762, 2322, 440, 835, 513, 321, 321, 800, 7272,0,0.000854, 0.000107, 0.000003,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,27, 43, 9, 33, 51, 47, 4082, 2, 0, 2, 2936, 0, 357, 45, 5653, 272, 502, 784, 2168, 8135, 2883, 7, 2914, 15, 1280, 4, 1301, 42, 1282, 11, 4163, 59, 80, 192, 0, 0, 272, 0, 272,0.000004
fdtd-2d_N16_4, 20011, 1872, 13738, 12146, 1592, 2755, 1761, 993, 993, 4992, 38376,0,0.001953, 0.000244, 0.000008,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,31, 35, 11, 30, 51, 43, 4936, 3, 0, 3, 2900, 0, 1029, 80, 30293, 1872, 1270, 5328, 5282, 18967, 14393, 10, 14387, 21, 5250, 6, 5256, 42, 5261, 13, 19852, 71, 528, 1344, 0, 0, 1872, 0, 1872,0.000012
fdtd-2d_N16_8, 95083, 9296, 61802, 55602, 6200, 10051, 6561, 3489, 3489, 24128, 176232,0,0.006348, 0.000793, 0.000025,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,38, 38, 13, 35, 74, 44, 6077, 2, 0, 2, 3185, 0, 3525, 116, 140629, 9296, 3958, 26320, 18277, 70855, 62408, 27, 62421, 39, 19835, 8, 19767, 39, 19740, 12, 82306, 102, 2576, 6720, 0, 0, 9296, 0, 9296,0.000033
fdtd-2d_N16_16, 412651, 41040, 262378, 237746, 24632, 38467, 25377, 13089, 13089, 105408, 754536,2880,0.023926, 0.002991, 0.000093,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,37, 40, 15, 32, 70, 45, 17176, 3, 0, 3, 8149, 1, 13125, 840, 605525, 41040, 13942, 115920, 69104, 296151, 272558, 94, 272547, 109, 87684, 7, 87606, 52, 87681, 10, 360224, 250, 11280, 29760, 0, 0, 41040, 0, 41040,0.000140
fdtd-2d_N16_32, 1717483, 172112, 1081322, 982962, 98360, 150595, 99873, 50721, 50721, 440000, 3121512,40016,0.094238, 0.011780, 0.000368,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,73, 42, 35, 31, 91, 61, 29989, 8, 0, 8, 14277, 0, 50758, 1608, 2512214, 172112, 52342, 485584, 293585, 1183776, 1100591, 379, 1100665, 421, 337817, 11, 337748, 37, 337812, 17, 1438464, 665, 47120, 124992, 0, 0, 172112, 0, 172112,0.000514
fdtd-2d_N16_64, 7005931, 704592, 4390378, 3997106, 393272, 596035, 396321, 199713, 199713, 1797312, 12696936,170064,0.375488, 0.046936, 0.001467,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,2123, 48, 114, 37, 2091, 149, 56972, 26, 0, 26, 24973, 2, 199751, 3148, 10233175, 704592, 202872, 1986768, 1347420, 4908686, 4426749, 49115, 4428759, 49226, 1331064, 12, 1331181, 48, 1330983, 47660, 5759783, 51111, 192528, 512064, 0, 0, 704592, 0, 704592,0.002126
fdtd-2d_N16_128, 28297963, 2850896, 17693162, 16120242, 1572920, 2371651, 1579041, 792609, 792609, 7264448, 51213672,700496,1.500488, 0.187561, 0.005861,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,10161, 60, 397, 44, 10094, 449, 111770, 101, 0, 101, 48844, 9, 792654, 6226, 41305437, 2850896, 798846, 8036560, 5160853, 19368148, 17759469, 230330, 17769398, 230695, 5280909, 20, 5280854, 63, 5280832, 220783, 23050341, 236713, 778256, 2072640, 0, 0, 2850896, 0, 2850896,0.008348
fdtd-2d_N16_256, 113742571, 11468880, 71037418, 64745906, 6291512, 9461827, 6303777, 3158049, 3158049, 29208768, 205710696,2842704,6.000488, 0.750061, 0.023439,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,31576, 76, 31904, 84, 31483, 31958, 225670, 393, 0, 392, 92530, 35, 3158120, 12460, 165971319, 11468880, 3170457, 32325840, 22200467, 79031209, 71152913, 912421, 71184588, 944471, 21051060, 3, 21051453, 85, 21051498, 1122, 92236119, 961197, 3129360, 8339520, 0, 0, 11468880, 0, 11468880,0.034051
fdtd-2d_N16_300, 156312747, 15763280, 97608490, 88968434, 8640056, 12988867, 8654433, 4334433, 4334433, 40142592, 282673384,3912080,8.240234, 1.030029, 0.032188,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,58620, 76, 50180, 69, 58479, 50357, 264599, 2813, 0, 2573, 112215, 50, 4334519, 14595, 209449319, 15763280, 4348967, 44429008, 39128270, 114084910, 97747413, 1237630, 97805727, 1287951, 27455040, 5, 27454648, 75, 27455050, 19800, 125261222, 1319890, 4300816, 11462464, 0, 0, 15763280, 0, 15763280,0.050372
fdtd-2d_N16_400, 278176747, 28057680, 173664490, 158304434, 15360056, 23078467, 15379233, 7699233, 7699233, 71443392, 502977384,6976080,14.648926, 1.831116, 0.057222,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,131375, 156, 97034, 116, 131417, 97210, 514281, 24848, 0, 24797, 143405, 134, 7699401, 19534, 584424377, 28057680, 7718651, 79078608, 99246245, 301328152, 173661892, 2225819, 173792851, 2322778, 79390229, 0, 79389988, 62, 79390624, 72620, 253183751, 2417988, 7654416, 20403264, 0, 0, 28057680, 0, 28057680,0.128868
fdtd-2d_N16_512, 456073963, 46006352, 284680682, 259514802, 25165880, 37797955, 25190433, 12607521, 12607521, 117137600, 824558952,11452496,24.000488, 3.000061, 0.093752,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,178467, 119, 136541, 87, 178190, 136354, 494974, 920, 0, 917, 185831, 142, 12607700, 24854, 665388515, 46006352, 12632324, 129663184, 95779077, 322927710, 284766168, 3652224, 284945425, 3788413, 84038083, 5, 84038230, 91, 84038266, 98934, 368981049, 3898443, 12550160, 33456192, 0, 0, 46006352, 0, 46006352,0.140373
fdtd-2d_N16_600, 626544747, 63206480, 391056490, 356496434, 34560056, 51897667, 34588833, 17308833, 17308833, 160924992, 1132705384,15744080,32.959473, 4.119934, 0.128748,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,7371318, 96, 972665, 83, 7365846, 969815, 606772, 5739, 0, 5753, 226768, 260, 17309129, 29331, 839377528, 63206480, 17337977, 178137808, 293343416, 593078256, 384234847, 19334537, 391599866, 20306689, 109613444, 1, 109612845, 80, 109613728, 14468570, 501217085, 20679303, 17241616, 45964864, 0, 0, 63206480, 0, 63206480,0.262900
fdtd-2d_N16_700, 853048747, 86060880, 532392490, 485352434, 47040056, 70627267, 47073633, 23553633, 23553633, 219105792, 1542129384,21448080,44.861328, 5.607666, 0.175240,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,226953, 88, 229951, 87, 227016, 230238, 685894, 329, 0, 326, 262413, 275, 23553950, 34013, 1142793551, 86060880, 23587600, 242547408, 236439419, 644263861, 532618362, 6687163, 532845976, 6918373, 149178476, 2, 149176954, 104, 149177130, 21292, 682020747, 7042393, 23475216, 62585664, 0, 0, 86060880, 0, 86060880,0.283620
fdtd-2d_N16_800, 1114432747, 112435280, 695488490, 634048434, 61440056, 92236867, 61478433, 30758433, 30758433, 286246592, 2014593384,28032080,58.594238, 7.324280, 0.228884,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,288823, 162, 286682, 150, 288226, 286684, 1143052, 181, 0, 178, 299636, 539, 30759005, 39220, 2341327183, 112435280, 30797455, 316877008, 432799000, 1254007244, 695455825, 8681802, 695744230, 8968566, 317505064, 8, 317503570, 128, 317505801, 9518, 1013247343, 9158075, 30668816, 81766464, 0, 0, 112435280, 0, 112435280,0.528736
fdtd-2d_N16_900, 1410696747, 142329680, 880344490, 802584434, 77760056, 116726467, 77803233, 38923233, 38923233, 362347392, 2550097384,35496080,74.158203, 9.269775, 0.289680,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,396811, 206, 386159, 82, 397507, 385508, 937203, 11225, 0, 11065, 339358, 470, 38923739, 43941, 1889785739, 142329680, 38966987, 401126608, 397569962, 1071617560, 880533425, 11029744, 880934163, 11415303, 246524004, 18, 246521076, 88, 246520762, 33999, 1127450550, 11644493, 38822416, 103507264, 0, 0, 142329680, 0, 142329680,0.467225
fdtd-2d_N16_1024, 1826505451, 184287312, 1139786218, 1039122866, 100663352, 151093315, 100712481, 50380833, 50380833, 469156032, 3301672296,45973584,96.000488, 12.000061, 0.375002,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,521571, 205, 511336, 100, 521792, 511242, 1099720, 1032, 0, 1142, 370717, 582, 50381452, 49865, 2664564635, 184287312, 50430652, 519373008, 420392171, 1329231647, 1139822418, 14356821, 1140343013, 14860903, 335865850, 14, 335869690, 120, 335867901, 96737, 1476210469, 15153732, 50266128, 134021184, 0, 0, 184287312, 0, 184287312,0.563509
fdtd-2d_N32_1, 651, 0, 1066, 770, 296, 611, 353, 257, 257, 96, 2328,0,0.001068, 0.000134, 0.000004,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,27, 37, 6, 29, 45, 41, 6455, 1, 0, 1, 4237, 0, 293, 34, 1733, 0, 470, 0, 1275, 5947, 1138, 4, 1134, 10, 730, 7, 686, 37, 708, 8, 1865, 53, 0, 0, 0, 0, 0, 0, 0,0.000003
fdtd-2d_N32_2, 6795, 544, 5514, 4642, 872, 1667, 1025, 641, 641, 1600, 14520,0,0.001343, 0.000168, 0.000005,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,30, 41, 9, 39, 50, 46, 4158, 2, 0, 2, 3350, 0, 677, 44, 11109, 544, 950, 1568, 3293, 10692, 5524, 3, 5534, 13, 2226, 4, 2205, 44, 2228, 7, 7757, 61, 160, 384, 0, 0, 544, 0, 544,0.000006
fdtd-2d_N32_4, 40011, 3744, 27466, 24290, 3176, 5507, 3521, 1985, 1985, 9984, 76728,0,0.002441, 0.000305, 0.000010,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,30, 35, 10, 30, 47, 41, 5761, 2, 0, 2, 3217, 0, 2021, 148, 60389, 3744, 2486, 10656, 9334, 35426, 28957, 13, 28883, 23, 9818, 4, 9717, 34, 9703, 10, 37670, 67, 1056, 2688, 0, 0, 3744, 0, 3744,0.000017
fdtd-2d_N32_8, 190155, 18592, 123594, 111202, 12392, 20099, 13121, 6977, 6977, 48256, 352440,0,0.006836, 0.000854, 0.000027,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,36, 41, 11, 36, 69, 48, 8398, 2, 0, 2, 3413, 0, 7013, 162, 281061, 18592, 7862, 52640, 36402, 139679, 124418, 26, 124408, 38, 39076, 6, 39023, 43, 38989, 21, 163497, 94, 5152, 13440, 0, 0, 18592, 0, 18592,0.000063
fdtd-2d_N32_16, 825291, 82080, 524746, 475490, 49256, 76931, 50753, 26177, 26177, 210816, 1509048,5760,0.024414, 0.003052, 0.000095,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,54, 40, 16, 34, 59, 54, 30975, 3, 0, 3, 14798, 0, 26213, 1646, 1210853, 82080, 27830, 231840, 137862, 591259, 545018, 95, 545010, 111, 175103, 7, 174998, 43, 175065, 10, 720128, 210, 22560, 59520, 0, 0, 82080, 0, 82080,0.000268
fdtd-2d_N32_32, 3434955, 344224, 2162634, 1965922, 196712, 301187, 199745, 101441, 101441, 880000, 6243000,80032,0.094727, 0.011841, 0.000370,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,71, 43, 36, 32, 85, 60, 56333, 8, 0, 8, 24789, 1, 101478, 3182, 5024230, 344224, 104631, 971168, 578843, 2359583, 2201894, 386, 2201933, 417, 675353, 10, 675286, 36, 675302, 27, 2877296, 682, 94240, 249984, 0, 0, 344224, 0, 344224,0.001023
fdtd-2d_N32_64, 14011851, 1409184, 8780746, 7994210, 786536, 1192067, 792641, 399425, 399425, 3594624, 25393848,340128,0.375977, 0.046997, 0.001469,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,4280, 49, 244, 36, 4275, 275, 109453, 26, 0, 26, 47402, 4, 399465, 6255, 20466154, 1409184, 405690, 3973536, 2627564, 9731511, 8850973, 98623, 8855112, 98864, 2662004, 15, 2661879, 54, 2661903, 97176, 11517065, 101673, 385056, 1024128, 0, 0, 1409184, 0, 1409184,0.004226
fdtd-2d_N32_128, 56595915, 5701792, 35386314, 32240482, 3145832, 4743299, 3158081, 1585217, 1585217, 14528896, 102427320,1400992,1.500977, 0.187622, 0.005863,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,19520, 77, 2492, 32, 19520, 2439, 216966, 101, 0, 101, 90470, 16, 1585270, 12415, 82610678, 5701792, 1597639, 16073120, 10310052, 38722718, 35515879, 471060, 35535374, 473597, 10561313, 28, 10561443, 65, 10561265, 396446, 46096610, 483443, 1556512, 4145280, 0, 0, 5701792, 0, 5701792,0.016682
fdtd-2d_N32_256, 227485131, 22937760, 142074826, 129491810, 12583016, 18923651, 12607553, 6316097, 6316097, 58417536, 411421368,5685408,6.000977, 0.750122, 0.023441,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,62917, 115, 63434, 81, 62924, 63578, 446288, 390, 0, 390, 180014, 69, 6316202, 24868, 331942443, 22937760, 6340859, 64651680, 43666717, 157331275, 142311859, 1818674, 142375077, 1882101, 42102612, 25, 42102678, 119, 42102760, 735, 184477790, 1917257, 6258720, 16679040, 0, 0, 22937760, 0, 22937760,0.067900
fdtd-2d_N32_300, 312625483, 31526560, 195216970, 177936866, 17280104, 25977731, 17308865, 8668865, 8668865, 80285184, 565346744,7824160,8.240723, 1.030090, 0.032190,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,108590, 96, 94558, 90, 108145, 94492, 524412, 4909, 0, 4834, 221357, 99, 8669000, 29151, 418898441, 31526560, 8697881, 88858016, 76937186, 226759780, 195503863, 2462101, 195610296, 2556619, 54907973, 4, 54908678, 83, 54908661, 26204, 250518593, 2600603, 8601632, 22924928, 0, 0, 31526560, 0, 31526560,0.100968
fdtd-2d_N32_400, 556353483, 56115360, 347328970, 316608866, 30720104, 46156931, 30758465, 15398465, 15398465, 142886784, 1005954744,13952160,14.649414, 1.831177, 0.057224,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,228745, 93, 160786, 73, 228812, 160970, 1014512, 469, 0, 451, 280800, 262, 15398763, 38808, 1168848555, 56115360, 15437245, 158157216, 195145012, 599241210, 347352735, 4458377, 347581508, 4619209, 158779111, 1, 158777914, 87, 158777759, 126826, 506359194, 4703891, 15308832, 40806528, 0, 0, 56115360, 0, 56115360,0.258797
fdtd-2d_N32_512, 912147915, 92012704, 569361354, 519029602, 50331752, 75595907, 50380865, 25215041, 25215041, 234275200, 1649117880,22904992,24.000977, 3.000122, 0.093754,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,421303, 140, 308289, 115, 421337, 308646, 960714, 1357, 0, 1360, 361982, 284, 25215361, 49726, 1330776834, 92012704, 25264594, 259326368, 193127464, 647601500, 569478433, 7484496, 569901572, 7792796, 168074154, 11, 168073825, 135, 168074043, 306618, 737974044, 7909984, 25100320, 66912384, 0, 0, 92012704, 0, 92012704,0.280914
fdtd-2d_N32_600, 1253089483, 126412960, 782112970, 712992866, 69120104, 103795331, 69177665, 34617665, 34617665, 321849984, 2265410744,31488160,32.959961, 4.119995, 0.128750,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,14725371, 107, 2150565, 94, 14734366, 2149268, 1214440, 9718, 0, 9279, 449358, 526, 34618226, 58622, 1678754866, 126412960, 34675907, 356275616, 600256240, 1199382232, 768515328, 38671464, 783246282, 40820787, 219224799, 6, 219224939, 96, 219224321, 28946433, 1002464783, 41568417, 34483232, 91929728, 0, 0, 126412960, 0, 126412960,0.526459
fdtd-2d_N32_700, 1706097483, 172121760, 1064784970, 970704866, 94080104, 141254531, 94147265, 47107265, 47107265, 438211584, 3084258744,42896160,44.861816, 5.607727, 0.175241,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,468863, 438, 467581, 452, 469300, 467790, 1421608, 321, 0, 338, 556408, 565, 47107866, 68189, 2285586903, 172121760, 47175145, 485094816, 468338844, 1283915064, 1065222870, 13304673, 1065692017, 13772016, 298360513, 8, 298360306, 464, 298360101, 3519, 1364050604, 14244799, 46950432, 125171328, 0, 0, 172121760, 0, 172121760,0.564734
fdtd-2d_N32_800, 2228865483, 224870560, 1390976970, 1268096866, 122880104, 184473731, 122956865, 61516865, 61516865, 572493184, 4029186744,56064160,58.594727, 7.324341, 0.228886,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,601024, 115, 597224, 89, 601206, 597234, 2298787, 22534, 0, 22223, 620313, 1089, 61517989, 78032, 4682654181, 224870560, 61594870, 633754016, 867900921, 2485073720, 1390898617, 17345190, 1391500831, 17942226, 635021425, 5, 635022635, 88, 635020813, 22549, 2026521560, 18963045, 61337632, 163532928, 0, 0, 224870560, 0, 224870560,1.062821
fdtd-2d_N32_900, 2821393483, 284659360, 1760688970, 1605168866, 155520104, 233452931, 155606465, 77846465, 77846465, 724694784, 5100194744,70992160,74.158691, 9.269836, 0.289682,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,777548, 205, 754736, 194, 777921, 754288, 1872696, 154, 0, 154, 680114, 938, 77847438, 87993, 3779571278, 284659360, 77933919, 802253216, 791771482, 2139801751, 1761075070, 22016310, 1761859079, 22771472, 493047067, 2, 493044461, 196, 493046822, 52121, 2254904892, 23206723, 77644832, 207014528, 0, 0, 284659360, 0, 284659360,0.934009
fdtd-2d_N32_1024, 3653010891, 368574624, 2279572426, 2078245730, 201326696, 302186627, 201424961, 100761665, 100761665, 938312064, 6603344568,91947168,96.000977, 12.000122, 0.375004,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,1125221, 240, 1042812, 176, 1095694, 1039435, 2392195, 1363, 0, 1412, 833310, 1185, 100762886, 99792, 5329129094, 368574624, 100861295, 1038746016, 885806642, 2703269971, 2279688536, 28623573, 2280796038, 29663273, 671836060, 35, 671836992, 165, 671843559, 116301, 2952687863, 31072131, 100532256, 268042368, 0, 0, 368574624, 0, 368574624,1.137247
fdtd-2d_N64_1, 1291, 0, 2122, 1538, 584, 1219, 705, 513, 513, 192, 4632,0,0.002045, 0.000256, 0.000008,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,22, 39, 6, 34, 47, 41, 7365, 1, 0, 1, 4105, 0, 549, 31, 3269, 0, 886, 0, 1565, 7312, 2114, 11, 2147, 17, 1189, 6, 1205, 38, 1204, 9, 3327, 57, 0, 0, 0, 0, 0, 0, 0,0.000003
fdtd-2d_N64_2, 13579, 1088, 11018, 9282, 1736, 3331, 2049, 1281, 1281, 3200, 29016,0,0.002319, 0.000290, 0.000009,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,28, 39, 9, 37, 49, 47, 4707, 3, 0, 3, 2226, 0, 1317, 45, 22021, 1088, 1846, 3136, 5867, 16926, 10821, 10, 10811, 18, 4096, 4, 4097, 40, 4088, 5, 14948, 65, 320, 768, 0, 0, 1088, 0, 1088,0.000009
fdtd-2d_N64_4, 80011, 7488, 54922, 48578, 6344, 11011, 7041, 3969, 3969, 19968, 153432,0,0.003418, 0.000427, 0.000013,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,30, 38, 10, 37, 53, 48, 9202, 2, 0, 2, 3105, 0, 4005, 174, 120581, 7488, 4918, 21312, 18350, 66673, 56763, 16, 56790, 26, 19523, 3, 19440, 39, 19438, 9, 76228, 74, 2112, 5376, 0, 0, 7488, 0, 7488,0.000032
fdtd-2d_N64_8, 380299, 37184, 247178, 222402, 24776, 40195, 26241, 13953, 13953, 96512, 704856,0,0.007812, 0.000977, 0.000031,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,39, 38, 12, 31, 54, 47, 12651, 2, 0, 2, 3822, 0, 13990, 256, 561925, 37184, 15670, 105280, 64615, 265905, 248001, 38, 247953, 45, 77541, 5, 77426, 35, 77451, 14, 325423, 94, 10304, 26880, 0, 0, 37184, 0, 37184,0.000124
fdtd-2d_N64_16, 1650571, 164160, 1049482, 950978, 98504, 153859, 101505, 52353, 52353, 421632, 3018072,11520,0.025391, 0.003174, 0.000099,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,48, 45, 18, 36, 54, 54, 59800, 3, 0, 3, 25717, 0, 52389, 3245, 2421509, 164160, 55607, 463680, 267182, 1168427, 1090024, 106, 1090083, 115, 349918, 10, 349867, 38, 349899, 21, 1439909, 211, 45120, 119040, 0, 0, 164160, 0, 164160,0.000537
fdtd-2d_N64_32, 6869899, 688448, 4325258, 3931842, 393416, 602371, 399489, 202881, 202881, 1760000, 12485976,160064,0.095703, 0.011963, 0.000374,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,119, 41, 34, 27, 107, 60, 111707, 8, 0, 8, 48683, 2, 202919, 6317, 10048263, 688448, 209209, 1942336, 1150813, 4709080, 4401084, 406, 4401142, 445, 1350383, 7, 1350343, 36, 1350401, 49, 5751764, 684, 188480, 499968, 0, 0, 688448, 0, 688448,0.002054
fdtd-2d_N64_64, 28023691, 2818368, 17561482, 15988418, 1573064, 2384131, 1585281, 798849, 798849, 7189248, 50787672,680256,0.376953, 0.047119, 0.001472,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,8689, 47, 470, 30, 8637, 500, 212972, 26, 0, 26, 90475, 8, 798894, 12468, 40932110, 2818368, 811327, 7947072, 5067416, 19273522, 17710160, 197362, 17718793, 197830, 5323504, 18, 5323500, 46, 5323542, 195897, 23042561, 202847, 770112, 2048256, 0, 0, 2818368, 0, 2818368,0.008400
fdtd-2d_N64_128, 113191819, 11403584, 70772618, 64480962, 6291656, 9486595, 6316161, 3170433, 3170433, 29057792, 204854616,2801984,1.501953, 0.187744, 0.005867,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,39537, 80, 4511, 40, 39460, 4561, 427104, 101, 0, 101, 178452, 34, 3170503, 24801, 165221160, 11403584, 3195224, 32146240, 21215055, 78023724, 71031299, 935009, 71070582, 939647, 21122210, 39, 21122409, 78, 21122220, 819035, 92192988, 959550, 3113024, 8290560, 0, 0, 11403584, 0, 11403584,0.033348
fdtd-2d_N64_256, 454970251, 45875520, 284149642, 258983618, 25166024, 37847299, 25215105, 12632193, 12632193, 116835072, 822842712,11370816,6.001953, 0.750244, 0.023445,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,125587, 179, 136238, 116, 125563, 136312, 884762, 394, 0, 397, 358879, 137, 12632367, 49690, 663884686, 45875520, 12681663, 129303360, 86505014, 313740076, 284611623, 3658858, 284737156, 3795077, 84205332, 65, 84204841, 173, 84203112, 12182, 368941424, 3845833, 12517440, 33358080, 0, 0, 45875520, 0, 45875520,0.136402
fdtd-2d_N64_300, 625250955, 63053120, 390433930, 355873730, 34560200, 51955459, 34617729, 17337729, 17337729, 160570368, 1130693464,15648320,8.241699, 1.030212, 0.032194,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,229441, 130, 187217, 141, 229318, 187660, 1038555, 9517, 0, 9537, 439515, 199, 17337963, 58127, 837796683, 63053120, 17395709, 177716032, 153177280, 452914222, 390968115, 4966095, 391196718, 5153814, 109812105, 3, 109814094, 124, 109813939, 93759, 501009351, 5245087, 17203264, 45849856, 0, 0, 63053120, 0, 63053120,0.201336
fdtd-2d_N64_400, 1112706955, 112230720, 694657930, 633217730, 61440200, 92313859, 61516929, 30796929, 30796929, 285773568, 2011909464,27904320,14.650391, 1.831299, 0.057228,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,515707, 62, 379660, 58, 515956, 379952, 2021778, 98676, 0, 99211, 560018, 528, 30797492, 77721, 2337696918, 112230720, 30874438, 316314432, 395450414, 1203683990, 694668409, 8867799, 695184079, 9247747, 317577899, 5, 317580619, 92, 317577874, 250723, 1012762414, 9704253, 30617664, 81613056, 0, 0, 112230720, 0, 112230720,0.516362
fdtd-2d_N64_512, 1824295819, 184025408, 1138722698, 1038059202, 100663496, 151191811, 100761729, 50430081, 50430081, 468550400, 3298235736,45809984,24.001953, 3.000244, 0.093758,8, 0, 0, 8, 8, 4, 4, 2, 33, 40,846834, 197, 571307, 151, 846459, 571782, 1934332, 1804, 0, 1767, 716286, 575, 50430692, 99310, 2661553476, 184025408, 50529140, 518652736, 403744732, 1312178855, 1138914171, 14841716, 1139757193, 15413925, 336149480, 5, 336148312, 356, 336150874, 600546, 1475909646, 15654206, 50200640, 133824768, 0, 0, 184025408, 0, 184025408,0.563539
